de,doi,msc,keyword,title,text,refs
1209932,10.1007/BF03322040,"['42C10', '33C45', '42A45', '39A70']","['Laguerre polynomials', 'linear means', 'Lebesgue constants', 'weighted Lebesgue spaces']",A lower estimate for the Lebesgue constants of linear means of Laguerre expansions,"The paper deals with series in Laguerre polynomials \(\sum_{k=0}^\infty f_k L_k^\alpha(x)\) and multipliers \(m=(m_k)_{k=0}^\infty\) for which \(\|\sum_{k=0}^{\infty} m_k f_k L_k^\alpha \|_{p,\gamma} \leq C \|\sum_{k=0}^{\infty} f_k L_k^\alpha \|_{p,\gamma}\), where \(\|\cdot\|_{p,\gamma}\) is a weighted \(p\)-norm on \([0,\infty)\). The smallest possible constant \(C\) is the multiplier norm of \(m\) and the authors obtain a lower bound for this multiplier norm, following the lines of a similar result of Kal'nej, which deals with Jacobi series [\textit{S. G. Kal'nej}, Proc. Steklov Inst. Math. 170, 127-133 (1987; Zbl 0613.41018)].","['33C45', '42A45', '42C10', '42C10', '40G05', '42C10', '33C45', '40G05', '40C05', '42C05', '33C45', '40G05', '41A30', '33C50', '33C45', '42C05', '42C15', '42C10', '42C10', '42A05']"
1209934,10.1007/BF03322042,"['34B15', '34C25', '34B24']","['singular nonlinearities', 'degree theory', 'positive solutions', 'periodic boundary value problems', 'Sturm-Liouville problems']",Positive solutions to boundary value problems for second-order ordinary differential equations with singular nonlinearities,"The existence of positive solutions to periodic boundary value problems and of infinitely many positive solutions to Sturm-Liouville problems is proved for the equation \(x''+g(x) =p(t,x,x')\) under a superlinear condition imposed on \(g\) when \(x\to \infty\). The proof is based on the continuation theorem in the absence of a priori bounds given by \textit{A. Capietto}, \textit{J. Mawhin} and \textit{F. Zanolin} [J. Differ. Equations 88, No. 2, 347-395 (1990; Zbl 0718.34053)].","['34B15', '34L30', '34B24', '34C25', '34B05', '34B15', '47J05', '34C25', '34C15', '34C15', '34C25', '34B15', '47H11', '47J25', '34C25', '47J05', '34B15', '34C25', '34C25', '47H11', '81V80', '78A60']"

